Tue Dec 27 15:07:34 CST 2022
MaxEnt version 3.4.4
Checking header of /volumes/env/na_2.5min/BIOCLIM_1.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_12.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_17.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_7.asc
Checking header of /volumes/env/na_2.5min/GTOPO30_ELEVATION.asc
Checking header of /volumes/env/na_2.5min/GTOPO30_SLOPE_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_phx10percent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_sandpercent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced.asc
Checking header of /volumes/env/na_2.5min/LandCover_1_Needleleaf.asc
Checking header of /volumes/env/na_2.5min/LandCover_6_Herbaceous.asc
Checking header of /volumes/env/na_2.5min/mask.asc
Reading samples from Tiarella_polyphylla.csv
Read samples: max memory 32178700288, total allocated 2118123520, free 2094301648, used 23821872, increment 23821872
Warning: Sample at 98.64466, 25.97809 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.346, 36.8561 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.4, 36.483333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 103.95402, 28.53963 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 115.98922, 29.67178 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.162222, 36.891111 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.418889, 36.543611 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.61633, 25.78278 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.419444, 36.797778 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.516667, 36.566667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.597, 36.7583 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 140.19655, 38.37773 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 142.488782, 43.764458 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 100.017, 25.7667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.410256, 35.578583 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 94.86667, 29.36667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 113.85468, 27.62287 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 140.0, 37.1 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 136.95, 36.216667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 110.23409, 28.81224 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 112.57416, 26.89805 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.4951, 40.51077 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.929, 36.8092 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.152, 36.7872 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 102.81464, 30.36812 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.197222, 36.915833 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.131, 36.8056 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.80586, 27.15642 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 103.267, 31.084 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.178889, 36.885833 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.78639, 28.1775 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.196, 36.9175 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.23145, 39.37525 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.216, 36.935 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.1, 36.4 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.834444, 36.771389 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.195833, 36.9175 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.461667, 36.538611 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 107.24499, 31.91185 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 140.1263, 39.72535 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.462, 36.5386 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
